Cosit,Description,Type,StartSite,EndSite,Length,StartGrid,EndGrid,Direction
9800Z65PQEOP,A62 Oldham Rd/Hulme Hall Ln/queens Rd to A665 Gt Ancoats St/Oldham Rd,Link,MAC4226MR,MAC4008MR,1952 m,386131399927,384651398698,SW
9800Z5R0MX37,Bury Rd/Crompton Way to Bury & Bolton Rd/Higher Ainsworth Rd,Link,MAC4297BL,MAC4298BU,3864 m,373666409425,377395409465,E
9800Z5LJNVKW,A34 Kingsway Burnage to Kingsway/Parrs Wood Ln,Link,MAC1315,MAC4105MR,2835 m,386365393180,385523390476,SW
9800Z5EJPYTH,A6 Stockport Rd/Kirkmanshulme Ln to A57 Hyde Rd/Pottery Ln,Link,MAC1076MR,MAC4037MR,969 m,386623395821,387062396537,NE
9800Z517CTKA,Site 1076 to Site 4037,Normal,MAC1076MR,MAC4037MR,969 m,386623395821,387062396537,NE
9800Z50CGA9C,A6010 Birchfields Rd/Dickenson Rd to A5184 Plymouth Grove/Upper Brook St,Link,MAC4067MR,MAC4108MR,1647 m,386054395253,385014396528,NW
9800Z4LON2M4,A57 Hyde Rd/Devonshire Rd to A57 Hyde Rd/Pottery Ln,Link,MAC4038MR,MAC4037MR,1339 m,385778396921,387062396537,E
9800Z4JAIOL7,Barton Rd/Kingsway to Church Rd/Stretford Rd,Link,MAC4328TR,MAC4329TR,2665 m,379247394374,376667394455,W
9800Z4I8AT3E,A57 Dawson St / Regent Rd - LSTF to Albion Way/M602 Circulatory Salford.,Link,MAC4001MR,MAC1050SD,1384 m,382729397664,381419398084,W
9800Z431IXY4,A560 Altrincham Rd E of Netherwood Rd to A560 Altrincham Rd/Hall Ln,Link,MAC4210MR,MAC4209MR,798 m,382380389153,381664389356,W
9800Z3WLLQNU,A57 Manchester Rd/Market St to A627 Clarke Way/Manchester Rd,Link,MAC4026TA,MAC4029TA,160 m,394643395099,394485395114,W
9800Z3S9VULG,Junction Shaftsbury Ave/A560 Thorley Ln to Junction Woodlands Rd/A560 Stockport Rd,Link,MAC1011TR,MAC1010TR,1619 m,378983388477,377382388321,W
9800Z3DY55YH,(blank),Normal,MAC4115SD,MAC4114SD,0 m,378157398804,378141398420,S
9800Z2O2TPUD,A580 East Lancs Rd/Chaddock Ln to A580 East Lancs Rd/Walkden Rd,Link,MAC4097WG,MAC1053SD,2760 m,371488400948,374101401764,E
9800Z2NZFSHP,A56 Chester Rd/Kingsway to A6010 Wilbraham Rd/Barlow Moor Rd,Link,MAC1043TR,MAC4071MR,2052 m,379735394420,381682394008,E
9800Z2KM263I,Grosvenor St west bound,Normal,MAC1078MR,MAC4109MR,386 m,384895397367,384554397181,SW
9800Z2IXUWSY,A6 Broad St/The Crescent/Albion Way to A576 Broughton Rd/E of Ford Ln,Link,MAC4076SD,MAC4077SD,1190 m,381787398791,381251399586,NW
9800Z2BTACBV,(blank),Link,MAC4252MR,MAC4250RD,0 m,386339404104,387077405709,NE
9800Z2AUB0JV,Church Ln/Golborne Rd/Slag Ln/Stone Cross Ln North to East Lancashire Rd/Newton Rd,Link,MAC4293WG,MAC4241WG,1436 m,361513397752,362397396922,SE
9800Z1OCRGHK,A34 Birchfields Rd/Fallowfield Shopping Centre to A6010 Birchfields Rd/Dickenson Rd,Link,MAC4107MR,MAC4067MR,1251 m,386438394075,386054395253,NW
9800Z0XQRE6R,M60 J10 to Park Way,Normal,MAC1051TR,MAC1052TR,2561 m,376432396535,377754396004,E
9800Z0RMQ0U0,Kingsway/Parrs Wood Ln to A34 Kingsway Burnage,Link,MAC4105MR,MAC1315,2829 m,385523390476,386365393180,NE
9800Z0MV9BLP,A57 Cadishead Way N of Boysnope Wharf to A57 Cadishead Way/Brinell Dr,Link,MAC4240SD,MAC4239SD,3725 m,373549395953,371902392715,SW
9800Z0JGA9X5,A58 Rochdale Rd/Derby Way to A58 York St/Market Place,Link,MAC4279BU,MAC4281RD,4775 m,380936410827,385555410798,E
9800Z0CG4YY1,Ashton Old Rd/Chancellor Ln to Fairfield St/Mancunian Way,Normal,MAC4013MR,MAC4012MR,184 m,385715397639,385530397656,W
9800Z0BRDUFX,(blank),Link,MAC5013HA,MAC4216MR,5688 m,378078384588,381975385687,E
9800Z0ANMCP0,A6042 Trinity Way/Blackfriars Rd to A6042 Trinity Way/Gt Ducie St,Link,MAC4004SD,MAC4005MR,561 m,383273398928,383788399115,E
9800Z00NMDYZ,(blank),Link,MAC4081TA,MAC4080TA,1400 m,390431398096,389041398264,W
